Year,Sport,Event,Medal,Country
2008,Swimming,Swimming Women's 100 metres Breaststroke,Gold,Australia
2008,Swimming,Swimming Women's 200 metres Breaststroke,Silver,Australia
2000,Triathlon,Triathlon Women's Olympic Distance,Silver,Australia
1996,Rowing,Rowing Women's Lightweight Double Sculls,Bronze,Australia
1984,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,Australia
2016,Diving,Diving Women's Synchronized Springboard,Bronze,Australia
1984,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Australia
1992,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Australia
2000,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,Australia
2004,Cycling,Cycling Men's Keirin,Bronze,Australia
1980,Swimming,Swimming Men's 200 metres Backstroke,Bronze,Australia
1996,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,Australia
1964,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Australia
1968,Athletics,Athletics Women's 80 metres Hurdles,Silver,Australia
1948,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,Australia
2000,Sailing,Sailing Men's Two Person Dinghy,Gold,Australia
1992,Sailing,Sailing Men's Windsurfer,Bronze,Australia
2000,Swimming,Swimming Men's 100 metres Butterfly,Silver,Australia
1960,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1960,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
1996,Swimming,Swimming Men's 200 metres Freestyle,Bronze,Australia
1996,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1996,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
1968,Athletics,Athletics Women's 200 metres,Bronze,Australia
1984,Swimming,Swimming Women's 400 metres Individual Medley,Silver,Australia
1956,Athletics,"Athletics Men's 1,500 metres",Bronze,Australia
1900,Swimming,Swimming Men's 200 metres Freestyle,Gold,Australia
1900,Swimming,Swimming Men's 200 metres Obstacle Course,Gold,Australia
2016,Swimming,Swimming Men's 200 metres Backstroke,Silver,Australia
2004,Diving,Diving Women's Synchronized Springboard,Bronze,Australia
2008,Swimming,Swimming Men's 100 metres Butterfly,Bronze,Australia
1960,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,Australia
1956,Athletics,"Athletics Men's 10,000 metres",Bronze,Australia
2008,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Australia
1956,Swimming,Swimming Women's 100 metres Freestyle,Bronze,Australia
1984,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
2004,Swimming,Swimming Women's 50 metres Freestyle,Bronze,Australia
2008,Swimming,Swimming Women's 100 metres Freestyle,Silver,Australia
2008,Swimming,Swimming Women's 100 metres Butterfly,Gold,Australia
1992,Swimming,Swimming Women's 400 metres Freestyle,Bronze,Australia
1992,Swimming,Swimming Women's 800 metres Freestyle,Silver,Australia
1992,Swimming,Swimming Women's 200 metres Backstroke,Bronze,Australia
2000,Rowing,Rowing Men's Coxless Pairs,Bronze,Australia
1984,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold,Australia
1948,Swimming,Swimming Women's 200 metres Breaststroke,Silver,Australia
1956,Rowing,Rowing Men's Single Sculls,Silver,Australia
2004,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver,Australia
1960,Boxing,Boxing Men's Light-Heavyweight,Bronze,Australia
2012,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
1996,Shooting,Shooting Men's Double Trap,Gold,Australia
2000,Shooting,Shooting Men's Double Trap,Silver,Australia
1948,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1948,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
1988,Athletics,Athletics Women's Marathon,Silver,Australia
1964,Athletics,Athletics Women's High Jump,Silver,Australia
1956,Athletics,Athletics Women's 100 metres,Bronze,Australia
1956,Athletics,Athletics Women's 200 metres,Bronze,Australia
1968,Swimming,Swimming Women's 100 metres Butterfly,Gold,Australia
2012,Cycling,Cycling Women's Team Sprint,Bronze,Australia
1988,Swimming,Swimming Women's 800 metres Freestyle,Bronze,Australia
1996,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,Australia
2000,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,Australia
2004,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,Australia
2016,Swimming,Swimming Women's 200 metres Freestyle,Bronze,Australia
2008,Athletics,Athletics Women's 100 metres Hurdles,Silver,Australia
2012,Athletics,Athletics Women's 100 metres Hurdles,Gold,Australia
1996,Athletics,Athletics Women's Javelin Throw,Silver,Australia
1992,Tennis,Tennis Women's Doubles,Bronze,Australia
1932,Swimming,Swimming Women's 100 metres Backstroke,Silver,Australia
2004,Cycling,Cycling Women's Sprint,Bronze,Australia
2004,Cycling,Cycling Women's 500 metres Time Trial,Gold,Australia
2008,Cycling,Cycling Women's Sprint,Silver,Australia
2012,Cycling,Cycling Women's Sprint,Gold,Australia
2016,Cycling,Cycling Women's Keirin,Bronze,Australia
1936,Athletics,Athletics Men's Triple Jump,Bronze,Australia
1980,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
2004,Diving,Diving Women's Platform,Gold,Australia
1996,Swimming,Swimming Men's 100 metres Butterfly,Silver,Australia
2008,Diving,Diving Men's Platform,Gold,Australia
1980,Athletics,Athletics Men's 400 metres,Silver,Australia
1952,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,Australia
2008,Triathlon,Triathlon Women's Olympic Distance,Bronze,Australia
2004,Tennis,Tennis Women's Singles,Bronze,Australia
1956,Swimming,Swimming Men's 100 metres Backstroke,Silver,Australia
1968,Swimming,Swimming Women's 400 metres Freestyle,Bronze,Australia
1960,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold,Australia
1984,Athletics,Athletics Women's Shot Put,Bronze,Australia
1972,Swimming,Swimming Women's 400 metres Individual Medley,Gold,Australia
1988,Cycling,Cycling Men's Sprint,Bronze,Australia
1992,Cycling,Cycling Men's Sprint,Silver,Australia
2000,Cycling,Cycling Men's Keirin,Silver,Australia
2000,Diving,Diving Men's Synchronized Springboard,Bronze,Australia
1972,Cycling,Cycling Men's Sprint,Silver,Australia
1968,Athletics,Athletics Men's 200 metres,Silver,Australia
2000,Swimming,Swimming Men's 200 metres Butterfly,Bronze,Australia
1964,Sailing,Sailing Mixed 5.5 metres,Gold,Australia
1984,Athletics,Athletics Women's Heptathlon,Gold,Australia
1964,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Australia
1996,Cycling,Cycling Men's Points Race,Bronze,Australia
1992,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Australia
1996,Swimming,Swimming Women's 200 metres Butterfly,Gold,Australia
2000,Swimming,Swimming Women's 200 metres Freestyle,Gold,Australia
2000,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
2008,Sailing,Sailing Men's Two Person Dinghy,Gold,Australia
1920,Athletics,"Athletics Men's 3,000 metres Walk",Silver,Australia
2008,Sailing,Sailing Women's Two Person Dinghy,Gold,Australia
1928,Rowing,Rowing Men's Single Sculls,Gold,Australia
1932,Rowing,Rowing Men's Single Sculls,Gold,Australia
1984,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,Australia
2000,Judo,Judo Women's Lightweight,Bronze,Australia
1992,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
1992,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
1996,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
2000,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
2012,Cycling,Cycling Men's Sprint,Bronze,Australia
1984,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
1956,Cycling,Cycling Men's Sprint,Bronze,Australia
1956,Athletics,Athletics Men's High Jump,Silver,Australia
2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,Australia
2016,Archery,Archery Men's Team,Bronze,Australia
1960,Athletics,"Athletics Men's 10,000 metres",Bronze,Australia
2008,Swimming,Swimming Women's 200 metres Individual Medley,Gold,Australia
2008,Swimming,Swimming Women's 400 metres Individual Medley,Gold,Australia
2008,Swimming,Swimming Men's 200 metres Breaststroke,Silver,Australia
1956,Rowing,Rowing Men's Double Sculls,Bronze,Australia
1992,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Australia
1996,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Australia
1992,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,Australia
1996,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,Australia
1968,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Australia
2004,Cycling,Cycling Men's Individual Time Trial,Bronze,Australia
1992,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,Australia
1956,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
1956,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
1960,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
1960,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
1900,Athletics,Athletics Men's 60 metres,Bronze,Australia
1900,Athletics,Athletics Men's 100 metres,Bronze,Australia
1900,Athletics,Athletics Men's 200 metres,Bronze,Australia
1900,Athletics,"Athletics Men's 5,000 metres, Team",Gold,Australia
1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold,Australia
2004,Athletics,Athletics Women's 20 kilometres Walk,Bronze,Australia
1932,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,Australia
2008,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Australia
2008,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Australia
1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,Australia
1996,Rowing,Rowing Men's Coxless Pairs,Silver,Australia
2012,Swimming,Swimming Women's 100 metres Backstroke,Silver,Australia
1972,Cycling,"Cycling Men's Road Race, Individual",Silver,Australia
1984,Swimming,Swimming Men's 200 metres Butterfly,Gold,Australia
2016,Shooting,Shooting Women's Trap,Gold,Australia
1996,Rowing,Rowing Women's Coxless Pairs,Gold,Australia
2000,Rowing,Rowing Women's Coxless Pairs,Silver,Australia
2012,Sailing,Sailing Men's One Person Dinghy,Gold,Australia
1988,Tennis,Tennis Women's Doubles,Bronze,Australia
2008,Triathlon,Triathlon Women's Olympic Distance,Gold,Australia
2012,Swimming,Swimming Men's 100 metres Breaststroke,Silver,Australia
1984,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
2008,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Australia
1948,Athletics,Athletics Women's 100 metres,Bronze,Australia
1948,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Australia
1952,Athletics,Athletics Women's 100 metres,Bronze,Australia
1952,Athletics,Athletics Women's 80 metres Hurdles,Gold,Australia
1956,Athletics,Athletics Women's 80 metres Hurdles,Gold,Australia
2008,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
1980,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver,Australia
2008,Athletics,Athletics Men's 20 kilometres Walk,Bronze,Australia
2008,Athletics,Athletics Men's 50 kilometres Walk,Silver,Australia
2012,Athletics,Athletics Men's 50 kilometres Walk,Silver,Australia
2016,Athletics,Athletics Men's 50 kilometres Walk,Silver,Australia
2016,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Australia
2000,Athletics,Athletics Men's Long Jump,Silver,Australia
1960,Boxing,Boxing Men's Bantamweight,Bronze,Australia
1956,Swimming,Swimming Men's 100 metres Backstroke,Gold,Australia
1960,Swimming,Swimming Men's 100 metres Backstroke,Gold,Australia
1996,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
2000,Swimming,Swimming Women's 200 metres Butterfly,Bronze,Australia
2004,Swimming,Swimming Women's 100 metres Butterfly,Gold,Australia
2004,Swimming,Swimming Women's 200 metres Butterfly,Silver,Australia
2000,Swimming,Swimming Men's 200 metres Freestyle,Silver,Australia
2000,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
2004,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Australia
2004,Swimming,Swimming Men's 200 metres Freestyle,Gold,Australia
2004,Swimming,Swimming Men's 400 metres Freestyle,Gold,Australia
1956,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Australia
2004,Diving,Diving Women's Platform,Bronze,Australia
2000,Taekwondo,Taekwondo Men's Heavyweight,Silver,Australia
1996,Cycling,Cycling Women's Points Race,Bronze,Australia
2004,Shooting,Shooting Men's Trap,Bronze,Australia
1988,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Australia
2000,Trampolining,Trampolining Men's Individual,Silver,Australia
2008,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold,Australia
2008,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,Australia
1992,Cycling,"Cycling Women's Road Race, Individual",Gold,Australia
1992,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver,Australia
2012,Athletics,Athletics Men's Long Jump,Silver,Australia
2000,Swimming,Swimming Men's 100 metres Backstroke,Silver,Australia
2000,Swimming,Swimming Men's 200 metres Backstroke,Bronze,Australia
1968,Swimming,Swimming Men's 100 metres Freestyle,Gold,Australia
1968,Swimming,Swimming Men's 200 metres Freestyle,Gold,Australia
1972,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Australia
1972,Swimming,Swimming Women's 200 metres Breaststroke,Gold,Australia
2012,Cycling,Cycling Men's BMX,Silver,Australia
1972,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,Australia
1964,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Australia
1948,Athletics,Athletics Men's High Jump,Gold,Australia
1924,Athletics,Athletics Men's Triple Jump,Gold,Australia
1964,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1964,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1948,Rowing,Rowing Men's Single Sculls,Gold,Australia
1952,Rowing,Rowing Men's Single Sculls,Silver,Australia
1996,Tennis,Tennis Men's Doubles,Gold,Australia
2000,Tennis,Tennis Men's Doubles,Silver,Australia
1984,Swimming,Swimming Men's 400 metres Individual Medley,Bronze,Australia
1988,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,Australia
1992,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,Australia
1912,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,Austria
1924,Weightlifting,Weightlifting Men's Heavyweight,Silver,Austria
2004,Triathlon,Triathlon Women's Olympic Distance,Gold,Austria
1928,Weightlifting,Weightlifting Men's Featherweight,Gold,Austria
1936,Handball,Handball Men's Handball,Silver,Austria
1948,Athletics,Athletics Women's Javelin Throw,Gold,Austria
1906,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver,Austria
1912,Fencing,"Fencing Men's Sabre, Team",Silver,Austria
1992,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,Austria
1972,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze,Austria
1976,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze,Austria
1936,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,Austria
1936,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver,Austria
1936,Weightlifting,Weightlifting Men's Lightweight,Gold,Austria
1980,Sailing,Sailing Mixed Two Person Keelboat,Silver,Austria
1900,Fencing,"Fencing Men's Sabre, Individual",Bronze,Austria
1928,Rowing,Rowing Men's Double Sculls,Bronze,Austria
2016,Sailing,Sailing Mixed Multihull,Bronze,Austria
1924,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,Austria
1936,Football,Football Men's Football,Silver,Austria
2004,Sailing,Sailing Mixed One Person Dinghy,Silver,Austria
2000,Athletics,Athletics Women's 800 metres,Silver,Austria
1928,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Gold,Austria
1948,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques",Bronze,Austria
1972,Athletics,Athletics Women's High Jump,Bronze,Austria
1928,Weightlifting,Weightlifting Men's Lightweight,Gold,Austria
1932,Weightlifting,Weightlifting Men's Lightweight,Silver,Austria
2000,Sailing,Sailing Mixed Multihull,Gold,Austria
2004,Sailing,Sailing Mixed Multihull,Gold,Austria
1960,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold,Austria
1936,Rowing,Rowing Men's Single Sculls,Silver,Austria
2004,Judo,Judo Women's Half-Middleweight,Silver,Austria
1896,Swimming,Swimming Men's 100 metres Freestyle,Silver,Austria
1932,Weightlifting,Weightlifting Men's Middleweight,Bronze,Austria
1932,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Austria
1932,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Austria
1948,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold,Austria
1936,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold,Austria
1936,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Gold,Austria
1968,Athletics,Athletics Women's Javelin Throw,Bronze,Austria
1992,Rowing,Rowing Men's Double Sculls,Silver,Austria
2008,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Austria
1936,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver,Austria
1936,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Bronze,Austria
1996,Athletics,"Athletics Women's 1,500 metres",Bronze,Austria
1956,Rowing,Rowing Men's Coxless Pairs,Bronze,Austria
1960,Rowing,Rowing Men's Coxless Pairs,Silver,Austria
1984,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver,Austria
1936,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold,Austria
1936,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver,Austria
1904,Gymnastics,Gymnastics Men's Individual All-Around,Gold,Austria
1904,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",Silver,Austria
1904,Gymnastics,Gymnastics Men's Team All-Around,Gold,Austria
1952,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Austria
1906,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Austria
1980,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,Austria
1980,Sailing,Sailing Mixed One Person Dinghy,Silver,Austria
1932,Fencing,"Fencing Women's Foil, Individual",Gold,Austria
1936,Fencing,"Fencing Women's Foil, Individual",Bronze,Austria
1948,Fencing,"Fencing Women's Foil, Individual",Bronze,Austria
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",Bronze,Austria
1896,Swimming,Swimming Men's 500 metres Freestyle,Gold,Austria
2008,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze,Austria
2008,Judo,Judo Men's Extra-Lightweight,Silver,Austria
1980,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze,Austria
1968,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Austria
1912,Tennis,Tennis Men's Doubles,Silver,Austria
2004,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze,Austria
1936,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze,Austria
